"","min_connectivity_min","min_connectivity_average","avg_connectivity_min","avg_connectivity_average","n_samples","rmse","consistency_location","consistency_angles"
"1",0,0.0379383908956327,0.025,0.0703016880648141,15,0.189898666616527,0.882845360825728,0.859941721474899
"2",0,0.101532935711585,0.05,0.146599447967124,15,0.290419778142142,0.839979045079164,0.82642835941792
"3",0,0.152178325136684,0.125,0.230748540216711,15,0.323441677782263,0.817133208566278,0.809831852918502
"4",0.05,0.206390619225409,0.1,0.255344975175552,15,0.300219426990992,0.82295310480271,0.793257006487703
"5",0.05,0.126651052319936,0.125,0.178588681777464,15,0.250691628845028,0.839281336716574,0.829156544486492
"6",0.15,0.352339293829738,0.175,0.380352359791191,15,0.357598775786661,0.800439319618241,0.792841389386539
"7",0,0.0469491445048199,0.175,0.207437727581238,15,0.399417051805126,0.846926434416668,0.811130132510001
"8",0.05,0.0884524891191481,0.075,0.156035042516594,15,0.372598058116165,0.822385232611882,0.801033420294672
"9",0.05,0.120181345601859,0.05,0.187777885743562,15,0.409698461820716,0.851036775674263,0.835087328022905
"10",0.05,0.255681508895954,0.05,0.396806046476959,15,0.23391644760047,0.8133289211681,0.793432523460823
"11",0,0.0962632358008135,0.025,0.11822494917725,15,0.139559087390953,0.870311732733134,0.838418400825866
"12",0,0.101805798697177,0.05,0.18693447607296,15,0.363437970003989,0.815001780047372,0.794231146983389
"13",0,0.143906198406114,0.05,0.153751119512633,15,0.249804177939235,0.836329876439569,0.815488900901408
"14",0.15,0.279817314246308,0.2,0.365496241340684,15,0.483663382959482,0.811988276299691,0.786021692085947
"15",0,0.0666316779806665,0.05,0.128440225517689,15,0.118867411065959,0.84508098315161,0.829504526685881
"16",0,0.0358205080756888,0.025,0.0732865344845275,15,0.193012806256338,0.866575114886258,0.840824839626972
"17",0,0.00849672624682021,0.025,0.0940915776301827,15,0.150671682031243,0.868329225942694,0.831394461496119
"18",0.2,0.269440100657284,0.3,0.364607180879341,15,0.321625851246206,0.824624913069664,0.790136342952688
"19",0.05,0.0761705855204376,0.1,0.169318682666098,15,0.232393738769925,0.879672812138518,0.840090789602971
"20",0,0.0391081552249522,0,0.0484379148363454,15,0.292212562526886,0.897891629608369,0.860632176423625
"21",0.2,0.299786670198148,0.225,0.309624132521938,15,0.379520652649346,0.799090638771359,0.801723450637103
"22",0.05,0.114665479358586,0.25,0.282332739679293,15,0.234446333905598,0.852428334311291,0.823749229042809
"23",0,0.0598111655924064,0.025,0.0628803603154017,15,0.136458647729459,0.88213774676154,0.84930968815108
"24",0.1,0.190187111377581,0.1,0.246088728640531,15,0.20191992636049,0.808333951070723,0.769147975230906
"25",0.1,0.145807484255686,0.1,0.203049936631249,15,0.245083115729196,0.842112062433522,0.825444468565779
"26",0.05,0.0957614626497693,0.125,0.169555498037443,15,0.214519984390976,0.863628566689346,0.842068208965395
"27",0.05,0.185077418130873,0.15,0.239147329116863,15,0.136558368827255,0.847495673703087,0.823604622783083
"28",0.1,0.181765113446874,0.15,0.27318490329389,15,0.297082978517437,0.815239396865013,0.785965745468031
"29",0,0.15957982972351,0.2,0.30141298933324,15,0.338502047558469,0.831618564190925,0.809710477264085
"30",0.05,0.0819599231916533,0.075,0.123536443977317,15,0.181683738079376,0.809486299515259,0.791505344421842
"31",0,0.0224638165016972,0.15,0.175509863121359,15,0.153206601183921,0.870648404646828,0.845244110635904
"32",0.05,0.0854522880166724,0.1,0.222019056073786,15,0.208687101557114,0.839360369634112,0.798185478434171
"33",0.05,0.175831909424838,0.15,0.292547451536965,15,0.228868903352084,0.820121059865518,0.811515175295878
"34",0,0.14279874765341,0.05,0.262751993209357,15,0.208801279971895,0.84428266167679,0.802668400178379
"35",0.1,0.179192812313465,0.2,0.266385905738853,15,0.348059199347748,0.834320628674695,0.809765926182783
"36",0.15,0.245630908183117,0.225,0.29054427518016,15,0.102595757061142,0.837934292598909,0.796105155310617
"37",0.1,0.328783392673495,0.175,0.387072864794494,15,0.433074534416201,0.778530572975837,0.795400391130033
"38",0,0.0544102452745001,0.05,0.132544862972185,15,0.261427337914652,0.857351566292793,0.800638734726068
"39",0.2,0.261273517611258,0.275,0.340812713104733,15,0.185898198099518,0.813786583717811,0.816307968545156
"40",0.05,0.0888888888888889,0.1,0.153803775757986,15,0.182163785730335,0.822603952515716,0.81570620668142
"41",0,0.036680245488667,0,0.0371179005221113,15,0.156988137434929,0.897700406136092,0.86848212582457
"42",0,0.117446271875108,0.15,0.233210019358816,15,0.178544128433053,0.839947553863082,0.819333615038894
"43",0.15,0.22276684722714,0.225,0.380070670812598,15,0.282393052676258,0.804050965389335,0.786589379087958
"44",0,0.0989974746830583,0.025,0.105201113261537,15,0.386238799833459,0.866496113995357,0.838690645125748
"45",0,0.12389383678721,0.025,0.192803009748624,15,0.0792311571221287,0.857833312496978,0.826930212863782
"46",0.25,0.281468439624436,0.25,0.286314241622054,15,0.0734571439529093,0.819384640026889,0.823829881497512
"47",0,0.185609522113694,0.05,0.203345578896425,15,0.175456194248007,0.818808320170717,0.815721222069185
"48",0.05,0.215317859736987,0.1,0.228532604309312,15,0.268202289804977,0.848875426421314,0.819730949869331
"49",0,0.0880901665651544,0.025,0.096743497294645,15,0.240251641272926,0.8938442879981,0.849083332008606
"50",0,0.113831117688809,0.025,0.122882848833465,15,0.225224743015205,0.854975548508951,0.821613081438009
"51",0.1,0.147001011206886,0.175,0.237892717053591,15,0.370555739024113,0.839626004831384,0.804891301133005
"52",0,0.0604085587251265,0,0.089985556227151,15,0.28855363420661,0.832676024556665,0.828068600405253
"53",0,0.0937033348074486,0.125,0.213397022291603,15,0.444914272206734,0.82744625800591,0.776548542567456
